Gas Temperature((C0),Gas Humdity(%),Air Temperature(C0),Air Humdity(%),Bio Mass Level(%),Pressure(psi),PH,Gas(dm3)
34.69,80,36.89,84.5,70,10.5,12.9,5.75
34.69,78.3,38,84.45,70,10.5,12.9,5.6
34.69,81.2,37.4,84.35,69,10.5,12.9,5.7
34.69,82.8,36.7,84.15,69,10.4,12.9,5.8
34.69,77.4,36,84.1,71,10.4,12.8,5.5
34.69,77.5,36.1,84.52,71,10.3,12.9,5.55
34.69,78.4,35.6,84.52,72,10.4,12.8,5.45
34.69,78.8,35.8,84.4,68,10.3,12.9,5.5
34.69,80.6,35.9,84.58,73,10.5,12.8,5.8
34.69,77.6,36.2,84.75,67,10.6,12.7,5.85
34.69,80.3,35.5,84.7,70,10.6,12.7,5.8
34.69,78.3,35.7,84.64,69,10.6,12.6,5.6
34.75,79,35.6,84.65,68,10.6,12.5,5.65
34.75,78.8,35.4,84.64,68,10.6,12.9,5.9
34.75,78.8,33,84.31,75,10.4,12.8,5.75
32.2,78.5,34.25,83.74,76,10.4,12.7,5.2
33.75,78.4,33.85,84.32,65,10.3,12.6,5.3
32.75,78.7,34.1,84.48,60,10.3,12.5,5.4
32.65,78.8,34.5,84.48,80,10.2,11.6,5.7
33.75,78.1,34.5,84.34,79,10.2,12.5,5.1
31.75,80.7,34.1,84.23,78,10.2,12.3,6.3
33.75,79.7,33.9,84.32,72,10.5,11.4,6.2
33.62,77.6,33.8,84.35,71,10.5,11.5,6.1
33.75,80.6,33.8,84.45,75,10.5,11.6,6
32.75,78.4,33.5,84.48,76,10.7,11.5,5.7
32.65,78.2,33.8,84.58,77,10,11.1,5.8
33.75,78.7,33.8,84.48,79,9.9,11.1,5.2
31.75,79.6,33.8,84.34,70,9.9,11,4.9
33.75,80,33.5,84.37,69,9.8,13,4.8
34.75,79.2,33.7,84.83,68,10.2,11.5,4.7
32.2,79.9,33.5,84.77,67,10.1,11.6,4.6
33.75,80.5,33.6,84.9,69,10.2,11.4,4.3
32.75,79.1,34.5,85.31,71,10.4,11.3,4.2
33.11,66.8,35.8,86.01,60,10.4,12.5,4.1
31.52,66.1,35,87.08,61,10.4,12.4,5.1
34.75,75.1,35.1,86.93,62,10.3,12.8,5.2
32.2,79.1,36.5,87.76,63,10.3,12.9,5.3
33.75,80.9,35.6,84.61,62,10.3,12.5,5.7
32.75,79.7,35.8,85.01,61,10.2,12.3,5.8
33.75,78.4,36.6,86,64,10.4,12.4,5.9
32.75,75.5,36.7,85.93,63,10.5,12.3,5.4
33.11,75.5,37.1,85.86,64,9.7,12.5,5.6
31.52,75.9,36.5,85.16,62,9.6,12.3,5.1
34.75,74,37.02,85.5,67,9.6,12.3,5.3
32.2,76.2,31.95,84.04,68,9.3,12.5,5.2
33.57,77.3,35.7,84.66,61,9.4,12.4,5
32.94,80.4,34.8,83.9,69,9.5,12.4,5.6
30.94,80.1,34.9,84.06,62,9.7,12.3,5.8
33.75,79.5,34.94,84.42,65,9.8,12.6,5.7
32.75,80.7,34.5,83.81,64,9,12.5,5.9
33.11,81.6,33.9,83.71,63,9.2,12.8,5.8
31.52,83.8,33.6,83.34,65,9.1,12,5.1
34.75,81.2,33,83.12,71,9.5,12.7,5.3
32.2,75.5,35.6,83.22,72,9.6,12.7,5.2
31.52,76.3,32.5,83.18,73,8.9,12.9,5.4
34.75,76.7,33.64,83.18,78,8.9,12.9,5.6
32.2,77.1,32,83.23,76,9,12.7,5.7
33.57,77.2,31.8,83.31,75,9.1,12.4,5.9
32.94,76.9,31.89,83.34,74,9.2,12.5,5.8
30.94,76.9,31.74,83.42,74,9.3,12.6,5.1
32.94,76.8,31.4,83.47,73,9.5,12.3,5
30.94,76.9,31.64,83.4,57,9.8,12,5.6
33.75,76.6,31.58,83.37,55,9.6,12.3,5.3
32.75,80.1,31,83.4,59,10.1,12.5,5.2
33.11,77,31.2,83.26,58,10.8,11.2,5.8
31.52,78.7,31,83.37,58,10.6,11.2,5.9
34.75,76.9,31.1,83.42,59,10.7,11.2,6.2
33.75,78.9,30.56,83.51,72,11.5,11.2,6.1
31.75,87.2,30.48,83.51,73,11.4,11.3,5.3
33.75,77.9,34.25,83.49,74,11.2,11.3,5.4
34.75,78.2,31.3,83.49,76,11.3,11.5,5.2
32.2,77.7,31.69,83.52,81,11.5,11.5,6.7
33.75,77.8,31.2,83.51,81,10.9,11.6,6.8
31.94,78.7,33.54,83.58,75,10.9,11.6,6.9
32.05,79.7,32.3,83.56,76,10.8,11.4,5.1
30.64,77.5,31.3,83.51,74,10.8,11.4,5.7
33.75,73.6,30.9,83.39,71,10.6,11.2,4.9
31.75,73.46,31,83.45,72,10.6,11.3,4.8
